Cenario,BasePacientes,TotalAcessos,Capacidade,Politica,Hits,Misses,AcessosBanco,TempoTotal_ns,LatenciaSimulada_ms
A,1000,5000,10,FIFO,29,4971,4971,5359769,49739
A,1000,5000,10,LFU,35,4965,4965,5327454,49685
A,1000,5000,10,LRU,30,4970,4970,1773924,49730
B,1000,5000,10,FIFO,3954,1046,1046,991863,14414
B,1000,5000,10,LFU,1556,3444,3444,5079952,35996
B,1000,5000,10,LRU,4023,977,977,1079767,13793
C,1000,5000,10,FIFO,159,4841,4841,1658704,48569
C,1000,5000,10,LFU,200,4800,4800,2877578,48200
C,1000,5000,10,LRU,162,4838,4838,1331563,48542
A,1000,5000,50,FIFO,261,4739,4739,1269751,47651
A,1000,5000,50,LFU,239,4761,4761,1911237,47849
A,1000,5000,50,LRU,265,4735,4735,1266517,47615
B,1000,5000,50,FIFO,4062,938,938,830869,13442
B,1000,5000,50,LFU,2239,2761,2761,2677724,29849
B,1000,5000,50,LRU,4059,941,941,354739,13469
C,1000,5000,50,FIFO,723,4277,4277,527111,43493
C,1000,5000,50,LFU,919,4081,4081,1620009,41729
C,1000,5000,50,LRU,753,4247,4247,499206,43223
A,1000,5000,100,FIFO,509,4491,4491,565705,45419
A,1000,5000,100,LFU,477,4523,4523,1062656,45707
A,1000,5000,100,LRU,508,4492,4492,530995,45428
B,1000,5000,100,FIFO,4114,886,886,287105,12974
B,1000,5000,100,LFU,2899,2101,2101,1378214,23909
B,1000,5000,100,LRU,4115,885,885,300423,12965
C,1000,5000,100,FIFO,1361,3639,3639,487814,37751
C,1000,5000,100,LFU,1773,3227,3227,1104727,34043
C,1000,5000,100,LRU,1421,3579,3579,470480,37211
A,1000,5000,500,FIFO,2340,2660,2660,448078,28940
A,1000,5000,500,LFU,2310,2690,2690,929283,29210
A,1000,5000,500,LRU,2377,2623,2623,425648,28607
B,1000,5000,500,FIFO,4382,618,618,248513,10562
B,1000,5000,500,LFU,4377,623,623,897195,10607
B,1000,5000,500,LRU,4378,622,622,278250,10598
C,1000,5000,500,FIFO,3708,1292,1292,311917,16628
C,1000,5000,500,LFU,3985,1015,1015,748586,14135
C,1000,5000,500,LRU,3976,1024,1024,302431,14216
A,1000,5000,1000,FIFO,4008,992,992,269598,13928
A,1000,5000,1000,LFU,4008,992,992,829125,13928
A,1000,5000,1000,LRU,4008,992,992,546212,13928
B,1000,5000,1000,FIFO,4391,609,609,228465,10481
B,1000,5000,1000,LFU,4391,609,609,944024,10481
B,1000,5000,1000,LRU,4391,609,609,296565,10481
C,1000,5000,1000,FIFO,4178,822,822,383889,12398
C,1000,5000,1000,LFU,4178,822,822,732171,12398
C,1000,5000,1000,LRU,4178,822,822,401779,12398
A,1000,5000,5000,FIFO,4008,992,992,271079,13928
A,1000,5000,5000,LFU,4008,992,992,861901,13928
A,1000,5000,5000,LRU,4008,992,992,303900,13928
B,1000,5000,5000,FIFO,4391,609,609,326850,10481
B,1000,5000,5000,LFU,4391,609,609,776410,10481
B,1000,5000,5000,LRU,4391,609,609,504298,10481
